Provincia,Partido,Localidad,ADSL,DIALUP,FIBRAOPTICA,4G,TELEFONIAFIJA,SATELITAL
CORDOBA,Tulumba,,No,No,,No,,
CORDOBA,,Las Arrias,Si,,No,Si,,
,COMUNA 14,PALERMO,Si,Si,Si,Si,Si,Si
ENTRE RIOS,Diamante,Aldea Valle María,,No,Si,,Si,No
ENTRE RIOS,,,No,,,No,,
ENTRE RIOS,Diamante,,No,No,,No,No,
ENTRE RIOS,,,Si,,,Si,,No
ENTRE RIOS,,Estación Camps,No,,No,No,,No
,Diamante,Estacion Puiggari,,No,No,,No,
,Diamante,General Alvear,No,No,No,Si,Si,
ENTRE RIOS,,General Racedo,No,,No,Si,,No
FORMOSA,,,Si,,,Si,Si,Si
FORMOSA,Formosa,,No,No,,Si,Si,
FORMOSA,,,No,,,No,,
FORMOSA,Formosa,Mojón de Fierro,,No,No,,No,Si
,Formosa,San Hilario,,No,No,,No,Si
,Formosa,Villa del Carmen,No,No,Si,Si,No,
FORMOSA,Formosa,Villa Trinidad,,No,No,,No,
FORMOSA,,Banco Payaguá,No,,No,No,,No
FORMOSA,Laishi,,Si,,,Si,Si,Si
,Laishi,Herradura,,No,No,,Si,No
,Laishi,San Francisco de Laishi,No,No,No,Si,Si,
FORMOSA,,,No,,,Si,,No
FORMOSA,Laishi,,No,No,,No,No,No
,Quemú Quemú,Quemú Quemú,,Si,Si,,Si,Si
LA PAMPA,Quemú Quemú,Relmo,,No,No,,No,
LA PAMPA,Quemú Quemú,Villa Mirasol,,No,No,,Si,No
,Rancul,Caleufú,No,No,Si,Si,Si,Si
LA PAMPA,Rancul,,No,No,,No,,
LA PAMPA,,La Maruja,No,,No,No,,Si
,Rancul,Parera,No,No,Si,Si,Si,Si
,Rancul,Pichi Huinca,,No,Si,,Si,No
,Rancul,Quetrequén,,No,Si,,Si,
LA PAMPA,Rancul,Rancul,,No,Si,,Si,Si
LA PAMPA,,,No,,,No,,Si
LA PAMPA,Realicó,,No,No,,No,Si,Si
LA PAMPA,Realicó,,No,No,,No,Si,No
MENDOZA,,Bowen,No,,No,Si,,
,General Alvear,Carmensa,,No,No,,Si,No
,General Alvear,General Alvear,Si,Si,Si,Si,Si,No
MENDOZA,,Los Compartos,No,,No,Si,,
MENDOZA,,,No,,,Si,,
MENDOZA,Godoy Cruz,Godoy Cruz,,Si,Si,,Si,Si
