Año,Trimestre,Provincia,Accesos por cada 100 hogares
2016,1,San Juan,2733
2016,1,San Luis,959
2016,1,Santa Cruz,2687
2016,1,Santa Fe,5128
2016,1,Santiago Del Estero,1621
2016,1,Tierra Del Fuego,6583
2016,1,Tucumán,3672
2015,4,Buenos Aires,5829
2015,4,Capital Federal,11813
2015,4,Catamarca,2624
2015,4,Chaco,2835
2015,4,Chubut,3689
2015,4,Córdoba,5736
2015,4,Corrientes,3034
2015,4,Entre Ríos,4411
2015,4,Formosa,1907
2015,4,Jujuy,2147
2015,4,La Pampa,5876
2015,4,La Rioja,1732
2015,4,Mendoza,3249
2015,4,Misiones,2869
2015,4,Neuquén,5829
2015,4,Río Negro,4644
2015,4,Salta,3159
2015,4,San Juan,2766
2015,4,San Luis,971
2015,4,Santa Cruz,2774
2015,4,Santa Fe,5261
2015,4,Santiago Del Estero,17
2015,4,Tierra Del Fuego,6646
2015,4,Tucumán,3706
2015,3,Buenos Aires,5769
2015,3,Capital Federal,11829
2015,3,Catamarca,2586
2015,3,Chaco,2796
2015,3,Chubut,3681
2015,3,Córdoba,5708
2015,3,Corrientes,3017
2015,3,Entre Ríos,4368
2015,3,Formosa,1884
2015,3,Jujuy,2127
2015,3,La Pampa,5796
2015,3,La Rioja,1715
2015,3,Mendoza,3249
2015,3,Misiones,2831
2015,3,Neuquén,546
2015,3,Río Negro,4639
2015,3,Salta,3118
2015,3,San Juan,2767
2015,3,San Luis,971
2015,3,Santa Cruz,2761
2015,3,Santa Fe,5215
2015,3,Santiago Del Estero,1712
2015,3,Tierra Del Fuego,7486
2015,3,Tucumán,3661
2015,2,Buenos Aires,568
2015,2,Capital Federal,11607
2015,2,Catamarca,2545
2015,2,Chaco,2746
2015,2,Chubut,3658
2015,2,Córdoba,5587
2015,2,Corrientes,2958
2015,2,Entre Ríos,4293
2015,2,Formosa,1836
2015,2,Jujuy,2029
2015,2,La Pampa,5671
2015,2,La Rioja,1688
2015,2,Mendoza,3249
2015,2,Misiones,2735
2015,2,Neuquén,5312
2015,2,Río Negro,4598
2015,2,Salta,3046
2015,2,San Juan,2764
2015,2,San Luis,971
2015,2,Santa Cruz,2707
2015,2,Santa Fe,5118
2015,2,Santiago Del Estero,1711
2015,2,Tierra Del Fuego,7451
2015,2,Tucumán,3569
2015,1,Buenos Aires,5637
2015,1,Capital Federal,1149
2015,1,Catamarca,2511
2015,1,Chaco,2665
2015,1,Chubut,3761
2015,1,Córdoba,547
2015,1,Corrientes,2895
2015,1,Entre Ríos,4207
2015,1,Formosa,1812
2015,1,Jujuy,1969
2015,1,La Pampa,5551
2015,1,La Rioja,167
2015,1,Mendoza,3237
2015,1,Misiones,2631
2015,1,Neuquén,5195
2015,1,Río Negro,4533
