id,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Dial up,Otros,Total
2019 *3 *Río Negro,2019.0,3.0,Río Negro,67478.0,37425.0,9739.0,10806.0,,,144295.0
2019 *3 *Salta,2019.0,3.0,Salta,65799.0,74329.0,733.0,158.0,,,151835.0
2019 *3 *San Juan,2019.0,3.0,San Juan,51670.0,7425.0,1227.0,7241.0,,,73098.0
2019 *3 *San Luis,2019.0,3.0,San Luis,13037.0,10561.0,350.0,62286.0,,,122700.0
2019 *3 *Santa Cruz,2019.0,3.0,Santa Cruz,10663.0,17056.0,969.0,6544.0,,,37970.0
2019 *3 *Santa Fe,2019.0,3.0,Santa Fe,319396.0,377171.0,18690.0,24269.0,,,760934.0
2019 *3 *Santiago Del Estero,2019.0,3.0,Santiago Del Estero,24556.0,71198.0,219.0,2759.0,,,133132.0
2019 *3 *Tierra Del Fuego,2019.0,3.0,Tierra Del Fuego,19790.0,26659.0,651.0,0.0,,,48587.0
2019 *3 *Tucumán,2019.0,3.0,Tucumán,150918.0,12089.0,116.0,6840.0,,,164131.0
2019 *2 *Buenos Aires,2019.0,2.0,Buenos Aires,1284658.0,2079900.0,382971.0,7524.0,,,3855698.0
2019 *2 *Capital Federal,2019.0,2.0,Capital Federal,309937.0,1061358.0,36082.0,3962.0,,,1415620.0
2019 *2 *Catamarca,2019.0,2.0,Catamarca,25682.0,5543.0,13.0,1460.0,,,33635.0
2019 *2 *Chaco,2019.0,2.0,Chaco,50765.0,47448.0,4203.0,4727.0,,,108734.0
2019 *2 *Chubut,2019.0,2.0,Chubut,37313.0,26338.0,1917.0,14443.0,,,87556.0
2019 *2 *Córdoba,2019.0,2.0,Córdoba,314768.0,388254.0,23023.0,33847.0,,,775128.0
2019 *2 *Corrientes,2019.0,2.0,Corrientes,53835.0,47431.0,1701.0,2444.0,,,111549.0
2019 *2 *Entre Ríos,2019.0,2.0,Entre Ríos,97081.0,91081.0,12764.0,17369.0,,,235824.0
2019 *2 *Formosa,2019.0,2.0,Formosa,21916.0,8686.0,1382.0,14292.0,,,46438.0
2019 *2 *Jujuy,2019.0,2.0,Jujuy,33022.0,30742.0,274.0,8120.0,,,86707.0
2019 *2 *La Pampa,2019.0,2.0,La Pampa,19471.0,52101.0,4840.0,10789.0,,,90205.0
2019 *2 *La Rioja,2019.0,2.0,La Rioja,15014.0,34984.0,11.0,2510.0,,,50301.0
2019 *2 *Mendoza,2019.0,2.0,Mendoza,148673.0,54027.0,6865.0,12748.0,,,223857.0
2019 *2 *Misiones,2019.0,2.0,Misiones,55373.0,64272.0,543.0,4210.0,,,132878.0
2019 *2 *Neuquén,2019.0,2.0,Neuquén,43420.0,59021.0,4983.0,12792.0,,,122953.0
2019 *2 *Río Negro,2019.0,2.0,Río Negro,67841.0,36527.0,4037.0,10485.0,,,138547.0
2019 *2 *Salta,2019.0,2.0,Salta,68827.0,62343.0,725.0,121.0,,,142568.0
2019 *2 *San Juan,2019.0,2.0,San Juan,51680.0,7425.0,1174.0,287.0,,,70025.0
2019 *2 *San Luis,2019.0,2.0,San Luis,11130.0,10298.0,347.0,57242.0,,,117385.0
2019 *2 *Santa Cruz,2019.0,2.0,Santa Cruz,10665.0,10257.0,379.0,6514.0,,,30550.0
2019 *2 *Santa Fe,2019.0,2.0,Santa Fe,325420.0,355140.0,18236.0,2198.0,,,743484.0
2019 *2 *Santiago Del Estero,2019.0,2.0,Santiago Del Estero,24393.0,64783.0,219.0,2759.0,,,126754.0
2019 *2 *Tierra Del Fuego,2019.0,2.0,Tierra Del Fuego,19790.0,25527.0,651.0,0.0,,,47454.0
2019 *2 *Tucumán,2019.0,2.0,Tucumán,153121.0,12089.0,116.0,6840.0,,,166331.0
2019 *1 *Buenos Aires,2019.0,1.0,Buenos Aires,1304507.0,2020730.0,336362.0,64867.0,,,3746667.0
2019 *1 *Capital Federal,2019.0,1.0,Capital Federal,328246.0,1030814.0,32281.0,3978.0,,,1399600.0
