Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2020,3,Santiago Del Estero,1330,9090,33287,57418,4658,2920,3994,4801,105492
2020,3,Tierra Del Fuego,110,0,22094,5414,3726,4810,937,6992,39655
2020,3,Tucumán,520,970,45913,5461,33126,3246,84195,2637,223876
2020,2,Buenos Aires,37542,31606,1129236,241336,233132,188995,1894466,21233,3777546
2020,2,Capital Federal,2640,3120,166474,94585,79858,8016,935481,6870,1357821
2020,2,Catamarca,630,0,8801,869,10242,4260,16578,3176,47976
2020,2,Chaco,3080,9280,24350,2114,29044,12082,33311,6969,128132
2020,2,Chubut,1580,1090,69578,22188,10537,1473,614,3999,108656
2020,2,Córdoba,1680,4383,219025,125932,8953,63216,325243,8971,836468
2020,2,Corrientes,720,5270,34242,22845,25844,7898,22418,502,118866
2020,2,Entre Ríos,1300,3679,66758,5064,4209,12856,43391,14569,234113
2020,2,Formosa,3910,1510,23534,7109,6998,9610,7475,1313,47932
2020,2,Jujuy,550,1820,30548,10519,26829,2090,9417,16557,94316
2020,2,La Pampa,2930,8100,71218,7531,38,1657,3377,1123,89809
2020,2,La Rioja,210,10,37375,5661,4686,730,4336,20,52155
2020,2,Mendoza,580,400,142253,12439,35274,3248,5422,245,201184
2020,2,Misiones,710,5240,39867,23719,26445,12305,28763,8646,140340
2020,2,Neuquén,2180,3270,61171,6103,6625,5296,46432,0,126172
2020,2,Río Negro,1140,4660,70817,3335,7498,3246,26953,17057,129486
2020,2,Salta,1290,5140,41801,64463,16989,7741,39594,6531,177762
2020,2,San Juan,480,1940,59113,9170,4908,400,127,443,69777
2020,2,San Luis,1050,0,11439,3585,1934,60889,8,35992,113952
2020,2,Santa Cruz,660,0,26938,4166,6541,5460,119,4930,38869
2020,2,Santa Fe,5680,2061,213054,198772,96575,57236,189473,20193,777932
2020,2,Santiago Del Estero,1330,1779,32557,57709,5178,2470,3328,4516,105447
2020,2,Tierra Del Fuego,110,0,22325,5186,3034,3910,796,7446,39189
2020,2,Tucumán,520,970,49028,54537,34184,2246,74377,2635,217156
2020,1,Buenos Aires,38215,36802,1122034,236421,247977,20578,1802583,28935,3718747
2020,1,Capital Federal,2640,3120,169651,102254,89665,85899,906009,0,1354054
2020,1,Catamarca,630,0,8838,7543,9558,4080,10299,2151,38860
2020,1,Chaco,3080,9280,23291,19976,29851,10416,28539,6917,120226
2020,1,Chubut,1580,1090,69586,12957,7756,124,614,45,96920
2020,1,Córdoba,1420,5128,217229,120188,95827,65733,296875,9802,810924
2020,1,Corrientes,720,5270,33479,21382,26679,7351,19467,478,113737
2020,1,Entre Ríos,1300,4081,72280,47132,41125,11988,39794,13762,230292
2020,1,Formosa,1127,3420,23761,65,6564,9640,6918,1000,46276
2020,1,Jujuy,550,1820,33120,9979,26693,1660,7349,16545,94089
2020,1,La Pampa,2930,8110,72740,7199,3029,1342,2113,1618,89145
2020,1,La Rioja,210,10,37209,5158,464,220,1294,0,48345
2020,1,Mendoza,580,400,140410,12285,17489,286,3818,0,176960
2020,1,Misiones,710,5240,36622,21271,26433,11581,26313,10885,133700
2020,1,Neuquén,2180,3270,60152,5257,7123,5399,43738,0,122214
2020,1,Río Negro,1140,4660,69154,293,7857,3199,25488,17719,126927
2020,1,Salta,1290,5140,38537,63714,17991,8625,34744,6441,170695
2020,1,San Juan,480,1940,59787,1594,1292,400,127,4779,67861
2020,1,San Luis,1050,0,11322,4164,5250,58258,5,36075,110454
2020,1,Santa Cruz,670,110,27447,4993,5169,5290,119,0,38335
2020,1,Santa Fe,6960,2994,217553,196826,10456,48448,173823,17656,762556
2020,1,Santiago Del Estero,1330,1779,33086,56884,3737,1350,2799,4501,103054
2020,1,Tierra Del Fuego,110,10,22976,5024,1834,1960,518,7046,37606
2020,1,Tucumán,520,970,49555,50383,31096,173,67536,0,200449
2019,4,Buenos Aires,33489,27537,1177446,262297,247106,45257,1465133,20676,3686254
2019,4,Capital Federal,3070,150,177098,110218,110852,20581,753805,0,1358105
2019,4,Catamarca,630,0,9945,7619,9305,8040,7477,3098,38311
2019,4,Chaco,830,0,25899,18959,30902,13516,21556,6988,117903
2019,4,Chubut,1580,40,69405,12945,7615,124,614,4121,96102
2019,4,Córdoba,1420,0,232781,118232,10933,114111,221742,1035,806688
2019,4,Corrientes,720,0,35055,2062,27367,9981,15744,4995,113834
2019,4,Entre Ríos,470,0,88203,44511,42962,18976,30153,14178,239030
2019,4,Formosa,1127,1910,24606,6319,6788,1766,5671,2430,46711
2019,4,Jujuy,550,0,32920,9632,26764,1020,5286,14122,88881
2019,4,La Pampa,2930,3130,76747,69,1951,1287,1342,1566,90399
2019,4,La Rioja,210,0,37846,5045,4763,220,1305,0,49002
2019,4,Mendoza,7460,90,145139,12955,15237,2165,2628,6901,185780
2019,4,Misiones,710,0,39664,2084,27305,15626,20799,11508,135813
2019,4,Neuquén,2180,10,57370,4439,7357,12059,35001,0,116445
2019,4,Río Negro,1140,0,71847,2797,8558,6968,19837,17019,127140
2019,4,Salta,1490,10,42159,67656,15369,1417,25821,712,172445
2019,4,San Juan,480,10,60626,1594,1292,400,127,1246,64974
2019,4,San Luis,1050,0,11901,4164,5250,55216,3,36287,108201
2019,4,Santa Cruz,670,0,32368,4346,2224,70,8,3500,39370
2019,4,Santa Fe,6980,0,230234,190664,113527,70998,135576,27472,769169
2019,4,Santiago Del Estero,1330,9080,34911,56309,3756,1050,2449,5017,103588
2019,4,Tierra Del Fuego,110,0,23593,505,1848,1390,1962,7789,40392
2019,4,Tucumán,550,0,54544,52017,28916,6405,56707,0,198644
2019,3,Buenos Aires,23892,44648,1432722,222812,260506,483572,1246209,42294,3971683
2019,3,Capital Federal,1040,3680,269704,120924,138011,258591,655108,0,1442810
2019,3,Catamarca,340,430,14449,9285,6333,720,15,2151,32382
2019,3,Chaco,690,1216,32764,28198,13336,12987,16740,6917,112227
2019,3,Chubut,740,8400,62680,13033,7171,124,614,45,90152
2019,3,Córdoba,830,5824,240151,106651,118486,146247,157546,7353,782341
2019,3,Corrientes,100,5970,42231,29628,10348,10388,12674,478,110656
2019,3,Entre Ríos,190,4446,99656,56161,17064,21216,22645,15107,236314
2019,3,Formosa,111,3490,24943,6049,7117,2262,4443,1000,46373
2019,3,Jujuy,270,8850,31722,924,26835,560,3671,16545,88981
2019,3,La Pampa,2370,3289,75849,5922,1611,1359,941,1618,90826
2019,3,La Rioja,90,100,38657,4786,4887,220,1307,0,49678
2019,3,Mendoza,210,1269,206821,2958,10093,1263,349,0,222774
2019,3,Misiones,470,1928,43530,29375,11256,16107,16650,12206,131099
2019,3,Neuquén,450,2258,62909,4586,9597,16923,28458,1220,124898
2019,3,Río Negro,470,1234,87435,2348,9779,10176,15505,17719,144243
2019,3,Salta,490,9000,43160,6223,14309,11418,12357,7515,151938
